edition,section,key,name,metric,value,unit,window,hours
2026-W38,coverage,collector,hourly readings,hours,168,hours,week,168
2026-W38,pool,ckpool,CKPool Solo,fee,2% of block reward,,,
2026-W38,pool,ckpool,CKPool Solo,miners_median,32543.0,count Users (addresses),,168
2026-W38,pool,ckpool,CKPool Solo,workers_median,54940.0,count Workers,,168
2026-W38,pool,ckpool,CKPool Solo,hashrate_median,213000000000000000,H/s,1 hour,168
2026-W38,pool,publicpool,Public Pool,fee,0%,,,
2026-W38,pool,publicpool,Public Pool,miners_median,25722.0,count totalMiners (connected devices),,167
2026-W38,pool,publicpool,Public Pool,hashrate_median,51112121879223528,H/s,10-20 minutes per device,167
2026-W38,pool,publicpool,Public Pool,blocks_last_published,2,count,,167
2026-W38,pool,solopool,SoloPool.org (Bitcoin),fee,2% of block reward,,,
2026-W38,pool,solopool,SoloPool.org (Bitcoin),miners_median,220.0,count totalMiners,,168
2026-W38,pool,solopool,SoloPool.org (Bitcoin),workers_median,267.0,count totalWorkers,,168
2026-W38,pool,solopool,SoloPool.org (Bitcoin),hashrate_median,3084066858027685,H/s,not stated by the pool,168
2026-W38,pool,solopool,SoloPool.org (Bitcoin),blocks_last_published,0,count,,168
2026-W38,pool,atlaspool,AtlasPool,fee,1.5% of full reward,,,
2026-W38,pool,atlaspool,AtlasPool,miners_median,1252.0,count miners,,168
2026-W38,pool,atlaspool,AtlasPool,hashrate_median,30380000000000000,H/s,1 hour,168
2026-W38,pool,nerdminers-org,NerdMiners.org pool,fee,0%,,,
2026-W38,pool,nerdminers-org,NerdMiners.org pool,miners_median,8950.0,count Users (addresses),,168
2026-W38,pool,nerdminers-org,NerdMiners.org pool,workers_median,9646.5,count Workers,,168
2026-W38,pool,nerdminers-org,NerdMiners.org pool,hashrate_median,7850365000,H/s,1 hour,168
2026-W38,pool,nerdminer-io,NerdMiner Pool,fee,0%,,,
2026-W38,pool,nerdminer-io,NerdMiner Pool,miners_median,1548.0,count Users (addresses),,168
2026-W38,pool,nerdminer-io,NerdMiner Pool,workers_median,3353.0,count Workers,,168
2026-W38,pool,nerdminer-io,NerdMiner Pool,hashrate_median,427500000000000,H/s,1 hour,168
2026-W38,pool,sololuck,SoloLuck,fee,0%,,,
2026-W38,pool,sololuck,SoloLuck,miners_median,34.0,count miners (addresses),,168
2026-W38,pool,sololuck,SoloLuck,workers_median,46.0,count workers,,168
2026-W38,pool,sololuck,SoloLuck,hashrate_median,184000000000000,H/s,1 hour,168
2026-W38,pool,sololuck,SoloLuck,blocks_last_published,0,count,,168
2026-W38,pool,sololuck,SoloLuck,operator_miners_median,1.0,count,,168
2026-W38,pool,sololuck,SoloLuck,operator_workers_median,4.0,count,,168
2026-W38,not_published,braiins-solo,Braiins Solo,checked,2026-09-11,,,
2026-W38,ckpool_endpoint,solo.ckpool.org,solo.ckpool.org,users_median,23565.0,count Users,,168
2026-W38,ckpool_endpoint,solo.ckpool.org,solo.ckpool.org,workers_median,39301.0,count Workers,,168
2026-W38,ckpool_endpoint,solo.ckpool.org,solo.ckpool.org,hashrate_median,104000000000000000,H/s,1 hour,168
2026-W38,ckpool_endpoint,eusolo.ckpool.org,eusolo.ckpool.org,users_median,6298.5,count Users,,168
2026-W38,ckpool_endpoint,eusolo.ckpool.org,eusolo.ckpool.org,workers_median,10297.5,count Workers,,168
2026-W38,ckpool_endpoint,eusolo.ckpool.org,eusolo.ckpool.org,hashrate_median,78400000000000000,H/s,1 hour,168
2026-W38,ckpool_endpoint,ausolo.ckpool.org,ausolo.ckpool.org,users_median,985.0,count Users,,168
2026-W38,ckpool_endpoint,ausolo.ckpool.org,ausolo.ckpool.org,workers_median,1575.0,count Workers,,168
2026-W38,ckpool_endpoint,ausolo.ckpool.org,ausolo.ckpool.org,hashrate_median,4390000000000000,H/s,1 hour,168
2026-W38,ckpool_endpoint,sgsolo.ckpool.org,sgsolo.ckpool.org,users_median,555.0,count Users,,168
2026-W38,ckpool_endpoint,sgsolo.ckpool.org,sgsolo.ckpool.org,workers_median,1008.0,count Workers,,168
2026-W38,ckpool_endpoint,sgsolo.ckpool.org,sgsolo.ckpool.org,hashrate_median,3595000000000000,H/s,1 hour,168
2026-W38,ckpool_endpoint,uwsolo.ckpool.org,uwsolo.ckpool.org,users_median,289.5,count Users,,168
2026-W38,ckpool_endpoint,uwsolo.ckpool.org,uwsolo.ckpool.org,workers_median,487.0,count Workers,,168
2026-W38,ckpool_endpoint,uwsolo.ckpool.org,uwsolo.ckpool.org,hashrate_median,2595000000000000,H/s,1 hour,168
2026-W38,ckpool_endpoint,uesolo.ckpool.org,uesolo.ckpool.org,users_median,32543.0,count Users,,168
2026-W38,ckpool_endpoint,uesolo.ckpool.org,uesolo.ckpool.org,workers_median,54940.0,count Workers,,168
2026-W38,ckpool_endpoint,uesolo.ckpool.org,uesolo.ckpool.org,hashrate_median,213000000000000000,H/s,1 hour,168
2026-W38,device,bitaxe,bitaxe,count_median,16919.0,devices,,168
2026-W38,device,bitaxe,bitaxe,hashrate_median,17674942110939280,H/s,,168
2026-W38,device,bitaxe,bitaxe,average_median,1045962366374,H/s,,168
2026-W38,device,bitaxe,bitaxe,hardest_share,5611283204756.703,difficulty,,168
2026-W38,device,NerdQAxe++,NerdQAxe++,count_median,1994.0,devices,,168
2026-W38,device,NerdQAxe++,NerdQAxe++,hashrate_median,9655840381203404,H/s,,168
2026-W38,device,NerdQAxe++,NerdQAxe++,average_median,4805481479522,H/s,,168
2026-W38,device,NerdQAxe++,NerdQAxe++,hardest_share,2645074356911.546,difficulty,,168
2026-W38,device,NerdMiner,NerdMiner,count_median,1872.5,devices,,166
2026-W38,device,NerdMiner,NerdMiner,hashrate_median,829768112926,H/s,,166
2026-W38,device,NerdMiner,NerdMiner,average_median,452550286,H/s,,166
2026-W38,device,NerdMiner,NerdMiner,hardest_share,314043508.53846115,difficulty,,166
2026-W38,device,cgminer,cgminer,count_median,746.0,devices,,168
2026-W38,device,cgminer,cgminer,hashrate_median,6876483866925167,H/s,,168
2026-W38,device,cgminer,cgminer,average_median,9184231322838,H/s,,168
2026-W38,device,cgminer,cgminer,hardest_share,2965719709144.141,difficulty,,168
2026-W38,device,LuckyMiner,LuckyMiner,count_median,717.0,devices,,168
2026-W38,device,LuckyMiner,LuckyMiner,hashrate_median,827332223204306,H/s,,168
2026-W38,device,LuckyMiner,LuckyMiner,average_median,1175595211086,H/s,,168
2026-W38,device,LuckyMiner,LuckyMiner,hardest_share,4171494559147.9204,difficulty,,168
2026-W38,device,NerdAxe,NerdAxe,count_median,504.0,devices,,168
2026-W38,device,NerdAxe,NerdAxe,hashrate_median,395652928651462,H/s,,168
2026-W38,device,NerdAxe,NerdAxe,average_median,774628791983,H/s,,168
2026-W38,device,NerdAxe,NerdAxe,hardest_share,1680154377959.0,difficulty,,168
2026-W38,device,Other,Other,count_median,452.0,devices,,168
2026-W38,device,Other,Other,hashrate_median,80423879505808,H/s,,168
2026-W38,device,Other,Other,average_median,181371388422,H/s,,168
2026-W38,device,Other,Other,hardest_share,998629495.0874895,difficulty,,168
2026-W38,device,cpuminer,cpuminer,count_median,392.5,devices,,168
2026-W38,device,cpuminer,cpuminer,hashrate_median,9961833383,H/s,,168
2026-W38,device,cpuminer,cpuminer,average_median,25144879,H/s,,168
2026-W38,device,cpuminer,cpuminer,hardest_share,899442.4140586585,difficulty,,168
2026-W38,device,NerdOCTAXE,NerdOCTAXE,count_median,320.5,devices,,168
2026-W38,device,NerdOCTAXE,NerdOCTAXE,hashrate_median,3391086931929794,H/s,,168
2026-W38,device,NerdOCTAXE,NerdOCTAXE,average_median,10524790107847,H/s,,168
2026-W38,device,NerdOCTAXE,NerdOCTAXE,hardest_share,9599125183995.148,difficulty,,168
2026-W38,device,bitaxe/sv2,bitaxe/sv2,count_median,268.0,devices,,168
2026-W38,device,bitaxe/sv2,bitaxe/sv2,hashrate_median,339679400361864,H/s,,168
2026-W38,device,bitaxe/sv2,bitaxe/sv2,average_median,1254488889732,H/s,,168
2026-W38,device,bitaxe/sv2,bitaxe/sv2,hardest_share,218584122776.43665,difficulty,,168
2026-W38,device,NerdNOS,NerdNOS,count_median,246.0,devices,,168
2026-W38,device,NerdNOS,NerdNOS,hashrate_median,37039100583733,H/s,,168
2026-W38,device,NerdNOS,NerdNOS,average_median,151133364102,H/s,,168
2026-W38,device,NerdNOS,NerdNOS,hardest_share,3674700677.9498653,difficulty,,168
2026-W38,device,Starminer,Starminer,count_median,238.0,devices,,168
2026-W38,device,Starminer,Starminer,hashrate_median,329742369338125,H/s,,168
2026-W38,device,Starminer,Starminer,average_median,1378975556532,H/s,,168
2026-W38,device,Starminer,Starminer,hardest_share,17570330197.689224,difficulty,,168
2026-W38,device,NerdQAxe+,NerdQAxe+,count_median,218.0,devices,,168
2026-W38,device,NerdQAxe+,NerdQAxe+,hashrate_median,518384356731798,H/s,,168
2026-W38,device,NerdQAxe+,NerdQAxe+,average_median,2361308298370,H/s,,168
2026-W38,device,NerdQAxe+,NerdQAxe+,hardest_share,2731911957419.921,difficulty,,168
2026-W38,device,Miner,Miner,count_median,139.0,devices,,168
2026-W38,device,Miner,Miner,hashrate_median,112421810205868,H/s,,168
2026-W38,device,Miner,Miner,average_median,813852438287,H/s,,168
2026-W38,device,Miner,Miner,hardest_share,77356601663.37706,difficulty,,168
2026-W38,device,NerdQAxe++/sv2,NerdQAxe++/sv2,count_median,67.0,devices,,168
2026-W38,device,NerdQAxe++/sv2,NerdQAxe++/sv2,hashrate_median,328257767986717,H/s,,168
2026-W38,device,NerdQAxe++/sv2,NerdQAxe++/sv2,average_median,4841785524775,H/s,,168
2026-W38,device,NerdQAxe++/sv2,NerdQAxe++/sv2,hardest_share,374253149185.1098,difficulty,,168
2026-W38,device,JingleMiner,JingleMiner,count_median,65.0,devices,,168
2026-W38,device,JingleMiner,JingleMiner,hashrate_median,39751010583323,H/s,,168
2026-W38,device,JingleMiner,JingleMiner,average_median,608703245684,H/s,,168
2026-W38,device,JingleMiner,JingleMiner,hardest_share,44889721644.966675,difficulty,,168
2026-W38,device,bitdsk,bitdsk,count_median,61.0,devices,,168
2026-W38,device,bitdsk,bitdsk,hashrate_median,11411338454286,H/s,,168
2026-W38,device,bitdsk,bitdsk,average_median,186267152047,H/s,,168
2026-W38,device,bitdsk,bitdsk,hardest_share,4175290501.221768,difficulty,,168
2026-W38,device,2026,2026,count_median,59.0,devices,,168
2026-W38,device,2026,2026,hashrate_median,2947139490996847,H/s,,168
2026-W38,device,2026,2026,average_median,50163391431915,H/s,,168
2026-W38,device,2026,2026,hardest_share,1208256973360.241,difficulty,,168
2026-W38,device,2025,2025,count_median,53.0,devices,,168
2026-W38,device,2025,2025,hashrate_median,95616074168141,H/s,,168
2026-W38,device,2025,2025,average_median,1801567748152,H/s,,168
2026-W38,device,2025,2025,hardest_share,16363607982.183395,difficulty,,168
2026-W38,device,NerdQX,NerdQX,count_median,37.0,devices,,168
2026-W38,device,NerdQX,NerdQX,hashrate_median,259720191573233,H/s,,168
2026-W38,device,NerdQX,NerdQX,average_median,7125114390378,H/s,,168
2026-W38,device,NerdQX,NerdQX,hardest_share,182791727536.7667,difficulty,,168
2026-W38,device,Antminer,Antminer,count_median,36.0,devices,,168
2026-W38,device,Antminer,Antminer,hashrate_median,2377612204379786,H/s,,168
2026-W38,device,Antminer,Antminer,average_median,65822927687660,H/s,,168
2026-W38,device,Antminer,Antminer,hardest_share,187187585108.1683,difficulty,,168
2026-W38,device,bitforge,bitforge,count_median,33.0,devices,,168
2026-W38,device,bitforge,bitforge,hashrate_median,75818639475163,H/s,,168
2026-W38,device,bitforge,bitforge,average_median,2244650398002,H/s,,168
2026-W38,device,bitforge,bitforge,hardest_share,8888365854.878458,difficulty,,168
2026-W38,device,GreenBit,GreenBit,count_median,32.0,devices,,168
2026-W38,device,GreenBit,GreenBit,hashrate_median,23081206792160,H/s,,168
2026-W38,device,GreenBit,GreenBit,average_median,702613220427,H/s,,168
2026-W38,device,GreenBit,GreenBit,hardest_share,5152514943.014787,difficulty,,168
2026-W38,device,NMAxe,NMAxe,count_median,30.0,devices,,168
2026-W38,device,NMAxe,NMAxe,hashrate_median,14418315379998,H/s,,168
2026-W38,device,NMAxe,NMAxe,average_median,477989696819,H/s,,168
2026-W38,device,NMAxe,NMAxe,hardest_share,6025009944.743089,difficulty,,168
2026-W38,device,NerdOCTAXE-γ/sv2,NerdOCTAXE-γ/sv2,count_median,21.0,devices,,168
2026-W38,device,NerdOCTAXE-γ/sv2,NerdOCTAXE-γ/sv2,hashrate_median,196864404309304,H/s,,168
2026-W38,device,NerdOCTAXE-γ/sv2,NerdOCTAXE-γ/sv2,average_median,9352049299909,H/s,,168
2026-W38,device,NerdOCTAXE-γ/sv2,NerdOCTAXE-γ/sv2,hardest_share,41407819666.95838,difficulty,,168
2026-W38,device,NMAxeGamma,NMAxeGamma,count_median,20.0,devices,,168
2026-W38,device,NMAxeGamma,NMAxeGamma,hashrate_median,23218302994466,H/s,,168
2026-W38,device,NMAxeGamma,NMAxeGamma,average_median,1190922246685,H/s,,168
2026-W38,device,NMAxeGamma,NMAxeGamma,hardest_share,35981579491.84801,difficulty,,168
2026-W38,device,YYSLUPING,YYSLUPING,count_median,19.0,devices,,168
2026-W38,device,YYSLUPING,YYSLUPING,hashrate_median,105726921950836,H/s,,168
